Domain Code,Domain,Area Code,Area,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description,Note
"QC","Crops","351","China","5312","Area harvested","692","Vanilla","1961","1961","ha","","A","Aggregate, may include official, semi-official, estimated or calculated data",""
"QC","Crops","351","China","5510","Production","692","Vanilla","1961","1961","tonnes","","A","Aggregate, may include official, semi-official, estimated or calculated data",""
"QC","Crops","351","China","5312","Area harvested","692","Vanilla","1962","1962","ha","","A","Aggregate, may include official, semi-official, estimated or calculated data",""
"QC","Crops","351","China","5510","Production","692","Vanilla","1962","1962","tonnes","","A","Aggregate, may include official, semi-official, estimated or calculated data",""
"QC","Crops","351","China","5312","Area harvested","692","Vanilla","1963","1963","ha","","A","Aggregate, may include official, semi-official, estimated or calculated data",""
"QC","Crops","351","China","5510","Production","692","Vanilla","1963","1963","tonnes","","A","Aggregate, may include official, semi-official, estimated or calculated data",""
"QC","Crops","351","China","5312","Area harvested","692","Vanilla","1964","1964","ha","","A","Aggregate, may include official, semi-official, estimated or calculated data",""
"QC","Crops","351","China","5510","Production","692","Vanilla","1964","1964","tonnes","","A","Aggregate, may include official, semi-official, estimated or calculated data",""
"QC","Crops","351","China","5312","Area harvested","692","Vanilla","1965","1965","ha","","A","Aggregate, may include official, semi-official, estimated or calculated data",""
"QC","Crops","351","China","5510","Production","692","Vanilla","1965","1965","tonnes","","A","Aggregate, may include official, semi-official, estimated or calculated data",""
"QC","Crops","351","China","5312","Area harvested","692","Vanilla","1966","1966","ha","","A","Aggregate, may include official, semi-official, estimated or calculated data",""
"QC","Crops","351","China","5510","Production","692","Vanilla","1966","1966","tonnes","","A","Aggregate, may include official, semi-official, estimated or calculated data",""
"QC","Crops","351","China","5312","Area harvested","692","Vanilla","1967","1967","ha","","A","Aggregate, may include official, semi-official, estimated or calculated data",""
"QC","Crops","351","China","5510","Production","692","Vanilla","1967","1967","tonnes","","A","Aggregate, may include official, semi-official, estimated or calculated data",""
"QC","Crops","351","China","5312","Area harvested","692","Vanilla","1968","1968","ha","","A","Aggregate, may include official, semi-official, estimated or calculated data",""
"QC","Crops","351","China","5510","Production","692","Vanilla","1968","1968","tonnes","","A","Aggregate, may include official, semi-official, estimated or calculated data",""
"QC","Crops","351","China","5312","Area harvested","692","Vanilla","1969","1969","ha","","A","Aggregate, may include official, semi-official, estimated or calculated data",""
"QC","Crops","351","China","5510","Production","692","Vanilla","1969","1969","tonnes","","A","Aggregate, may include official, semi-official, estimated or calculated data",""
"QC","Crops","351","China","5312","Area harvested","692","Vanilla","1970","1970","ha","","A","Aggregate, may include official, semi-official, estimated or calculated data",""
"QC","Crops","351","China","5510","Production","692","Vanilla","1970","1970","tonnes","","A","Aggregate, may include official, semi-official, estimated or calculated data",""
"QC","Crops","351","China","5312","Area harvested","692","Vanilla","1971","1971","ha","","A","Aggregate, may include official, semi-official, estimated or calculated data",""
"QC","Crops","351","China","5510","Production","692","Vanilla","1971","1971","tonnes","","A","Aggregate, may include official, semi-official, estimated or calculated data",""
"QC","Crops","351","China","5312","Area harvested","692","Vanilla","1972","1972","ha","","A","Aggregate, may include official, semi-official, estimated or calculated data",""
"QC","Crops","351","China","5510","Production","692","Vanilla","1972","1972","tonnes","","A","Aggregate, may include official, semi-official, estimated or calculated data",""
"QC","Crops","351","China","5312","Area harvested","692","Vanilla","1973","1973","ha","","A","Aggregate, may include official, semi-official, estimated or calculated data",""
"QC","Crops","351","China","5510","Production","692","Vanilla","1973","1973","tonnes","","A","Aggregate, may include official, semi-official, estimated or calculated data",""
"QC","Crops","351","China","5312","Area harvested","692","Vanilla","1974","1974","ha","","A","Aggregate, may include official, semi-official, estimated or calculated data",""
"QC","Crops","351","China","5510","Production","692","Vanilla","1974","1974","tonnes","","A","Aggregate, may include official, semi-official, estimated or calculated data",""
"QC","Crops","351","China","5312","Area harvested","692","Vanilla","1975","1975","ha","","A","Aggregate, may include official, semi-official, estimated or calculated data",""
"QC","Crops","351","China","5510","Production","692","Vanilla","1975","1975","tonnes","","A","Aggregate, may include official, semi-official, estimated or calculated data",""
"QC","Crops","351","China","5312","Area harvested","692","Vanilla","1976","1976","ha","","A","Aggregate, may include official, semi-official, estimated or calculated data",""
"QC","Crops","351","China","5510","Production","692","Vanilla","1976","1976","tonnes","","A","Aggregate, may include official, semi-official, estimated or calculated data",""
"QC","Crops","351","China","5312","Area harvested","692","Vanilla","1977","1977","ha","","A","Aggregate, may include official, semi-official, estimated or calculated data",""
"QC","Crops","351","China","5510","Production","692","Vanilla","1977","1977","tonnes","","A","Aggregate, may include official, semi-official, estimated or calculated data",""
"QC","Crops","351","China","5312","Area harvested","692","Vanilla","1978","1978","ha","","A","Aggregate, may include official, semi-official, estimated or calculated data",""
"QC","Crops","351","China","5510","Production","692","Vanilla","1978","1978","tonnes","","A","Aggregate, may include official, semi-official, estimated or calculated data",""
"QC","Crops","351","China","5312","Area harvested","692","Vanilla","1979","1979","ha","","A","Aggregate, may include official, semi-official, estimated or calculated data",""
"QC","Crops","351","China","5510","Production","692","Vanilla","1979","1979","tonnes","","A","Aggregate, may include official, semi-official, estimated or calculated data",""
"QC","Crops","351","China","5312","Area harvested","692","Vanilla","1980","1980","ha","","A","Aggregate, may include official, semi-official, estimated or calculated data",""
"QC","Crops","351","China","5510","Production","692","Vanilla","1980","1980","tonnes","","A","Aggregate, may include official, semi-official, estimated or calculated data",""
"QC","Crops","351","China","5312","Area harvested","692","Vanilla","1981","1981","ha","","A","Aggregate, may include official, semi-official, estimated or calculated data",""
"QC","Crops","351","China","5510","Production","692","Vanilla","1981","1981","tonnes","","A","Aggregate, may include official, semi-official, estimated or calculated data",""
"QC","Crops","351","China","5312","Area harvested","692","Vanilla","1982","1982","ha","","A","Aggregate, may include official, semi-official, estimated or calculated data",""
"QC","Crops","351","China","5510","Production","692","Vanilla","1982","1982","tonnes","","A","Aggregate, may include official, semi-official, estimated or calculated data",""
"QC","Crops","351","China","5312","Area harvested","692","Vanilla","1983","1983","ha","","A","Aggregate, may include official, semi-official, estimated or calculated data",""
"QC","Crops","351","China","5510","Production","692","Vanilla","1983","1983","tonnes","","A","Aggregate, may include official, semi-official, estimated or calculated data",""
"QC","Crops","351","China","5312","Area harvested","692","Vanilla","1984","1984","ha","","A","Aggregate, may include official, semi-official, estimated or calculated data",""
"QC","Crops","351","China","5510","Production","692","Vanilla","1984","1984","tonnes","","A","Aggregate, may include official, semi-official, estimated or calculated data",""
"QC","Crops","351","China","5312","Area harvested","692","Vanilla","1985","1985","ha","1000","A","Aggregate, may include official, semi-official, estimated or calculated data",""
"QC","Crops","351","China","5419","Yield","692","Vanilla","1985","1985","hg/ha","2000","Fc","Calculated data",""
"QC","Crops","351","China","5510","Production","692","Vanilla","1985","1985","tonnes","200","A","Aggregate, may include official, semi-official, estimated or calculated data",""
"QC","Crops","351","China","5312","Area harvested","692","Vanilla","1986","1986","ha","1000","A","Aggregate, may include official, semi-official, estimated or calculated data",""
"QC","Crops","351","China","5419","Yield","692","Vanilla","1986","1986","hg/ha","2500","Fc","Calculated data",""
"QC","Crops","351","China","5510","Production","692","Vanilla","1986","1986","tonnes","250","A","Aggregate, may include official, semi-official, estimated or calculated data",""
"QC","Crops","351","China","5312","Area harvested","692","Vanilla","1987","1987","ha","1000","A","Aggregate, may include official, semi-official, estimated or calculated data",""
"QC","Crops","351","China","5419","Yield","692","Vanilla","1987","1987","hg/ha","2500","Fc","Calculated data",""
"QC","Crops","351","China","5510","Production","692","Vanilla","1987","1987","tonnes","250","A","Aggregate, may include official, semi-official, estimated or calculated data",""
"QC","Crops","351","China","5312","Area harvested","692","Vanilla","1988","1988","ha","1000","A","Aggregate, may include official, semi-official, estimated or calculated data",""
"QC","Crops","351","China","5419","Yield","692","Vanilla","1988","1988","hg/ha","3000","Fc","Calculated data",""
"QC","Crops","351","China","5510","Production","692","Vanilla","1988","1988","tonnes","300","A","Aggregate, may include official, semi-official, estimated or calculated data",""
"QC","Crops","351","China","5312","Area harvested","692","Vanilla","1989","1989","ha","1000","A","Aggregate, may include official, semi-official, estimated or calculated data",""
"QC","Crops","351","China","5419","Yield","692","Vanilla","1989","1989","hg/ha","3000","Fc","Calculated data",""
"QC","Crops","351","China","5510","Production","692","Vanilla","1989","1989","tonnes","300","A","Aggregate, may include official, semi-official, estimated or calculated data",""
"QC","Crops","351","China","5312","Area harvested","692","Vanilla","1990","1990","ha","814","A","Aggregate, may include official, semi-official, estimated or calculated data",""
"QC","Crops","351","China","5419","Yield","692","Vanilla","1990","1990","hg/ha","4558","Fc","Calculated data",""
"QC","Crops","351","China","5510","Production","692","Vanilla","1990","1990","tonnes","371","A","Aggregate, may include official, semi-official, estimated or calculated data",""
"QC","Crops","351","China","5312","Area harvested","692","Vanilla","1991","1991","ha","1100","A","Aggregate, may include official, semi-official, estimated or calculated data",""
"QC","Crops","351","China","5419","Yield","692","Vanilla","1991","1991","hg/ha","3182","Fc","Calculated data",""
"QC","Crops","351","China","5510","Production","692","Vanilla","1991","1991","tonnes","350","A","Aggregate, may include official, semi-official, estimated or calculated data",""
"QC","Crops","351","China","5312","Area harvested","692","Vanilla","1992","1992","ha","1063","A","Aggregate, may include official, semi-official, estimated or calculated data",""
"QC","Crops","351","China","5419","Yield","692","Vanilla","1992","1992","hg/ha","3549","Fc","Calculated data",""
"QC","Crops","351","China","5510","Production","692","Vanilla","1992","1992","tonnes","377","A","Aggregate, may include official, semi-official, estimated or calculated data",""
"QC","Crops","351","China","5312","Area harvested","692","Vanilla","1993","1993","ha","1150","A","Aggregate, may include official, semi-official, estimated or calculated data",""
"QC","Crops","351","China","5419","Yield","692","Vanilla","1993","1993","hg/ha","3478","Fc","Calculated data",""
"QC","Crops","351","China","5510","Production","692","Vanilla","1993","1993","tonnes","400","A","Aggregate, may include official, semi-official, estimated or calculated data",""
