Domain Code,Domain,Area Code,Area,Element Code,Element,Item Code,Item,Year Code,Year,Months Code,Months,Unit,Value,Flag,Flag Description
"PP","Producer Prices","351","China","5539","Producer Price Index (2014-2016 = 100)","692","Vanilla","1991","1991","7021","Annual value","","31.83","Fc","Calculated data"
"PP","Producer Prices","351","China","5539","Producer Price Index (2014-2016 = 100)","692","Vanilla","1992","1992","7021","Annual value","","30.08","Fc","Calculated data"
"PP","Producer Prices","351","China","5539","Producer Price Index (2014-2016 = 100)","692","Vanilla","1993","1993","7021","Annual value","","27.08","Fc","Calculated data"
"PP","Producer Prices","351","China","5539","Producer Price Index (2014-2016 = 100)","692","Vanilla","1994","1994","7021","Annual value","","33.32","Fc","Calculated data"
"PP","Producer Prices","351","China","5539","Producer Price Index (2014-2016 = 100)","692","Vanilla","1995","1995","7021","Annual value","","41.52","Fc","Calculated data"
"PP","Producer Prices","351","China","5539","Producer Price Index (2014-2016 = 100)","692","Vanilla","1996","1996","7021","Annual value","","45.82","Fc","Calculated data"
"PP","Producer Prices","351","China","5539","Producer Price Index (2014-2016 = 100)","692","Vanilla","1997","1997","7021","Annual value","","45.75","Fc","Calculated data"
"PP","Producer Prices","351","China","5539","Producer Price Index (2014-2016 = 100)","692","Vanilla","1998","1998","7021","Annual value","","45.41","Fc","Calculated data"
"PP","Producer Prices","351","China","5539","Producer Price Index (2014-2016 = 100)","692","Vanilla","2000","2000","7021","Annual value","","43.52","Fc","Calculated data"
"PP","Producer Prices","351","China","5539","Producer Price Index (2014-2016 = 100)","692","Vanilla","2001","2001","7021","Annual value","","44.71","Fc","Calculated data"
"PP","Producer Prices","351","China","5539","Producer Price Index (2014-2016 = 100)","692","Vanilla","2002","2002","7021","Annual value","","45.53","Fc","Calculated data"
"PP","Producer Prices","351","China","5539","Producer Price Index (2014-2016 = 100)","692","Vanilla","2003","2003","7021","Annual value","","46.69","Fc","Calculated data"
"PP","Producer Prices","351","China","5539","Producer Price Index (2014-2016 = 100)","692","Vanilla","2004","2004","7021","Annual value","","52.8","Fc","Calculated data"
"PP","Producer Prices","351","China","5539","Producer Price Index (2014-2016 = 100)","692","Vanilla","2005","2005","7021","Annual value","","53.54","Fc","Calculated data"
"PP","Producer Prices","351","China","5539","Producer Price Index (2014-2016 = 100)","692","Vanilla","2006","2006","7021","Annual value","","54.18","Fc","Calculated data"
"PP","Producer Prices","351","China","5539","Producer Price Index (2014-2016 = 100)","692","Vanilla","2007","2007","7021","Annual value","","64.21","Fc","Calculated data"
"PP","Producer Prices","351","China","5539","Producer Price Index (2014-2016 = 100)","692","Vanilla","2009","2009","7021","Annual value","","71.5","Fc","Calculated data"
